ID,Site,Length,Width,Thickness,Other typologies,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Bow,Area,Long base,Short base,Campaign,Layer,Colour,Distal side length,Proximal side length,Date,Date BP,Calibrated date,Sd Date BP,Direction bow,Direction short base,Direction distal side,Direction proximal side,Excavated by,Extension bow,Extension short base,Extension distal side,Extension proximal side,Phase,Reliability,Broad Shape,Type Fortea,Type García-Puchol,Type Juan-Cabanilles,Original museum ID,Location museum ID,Inclination bow,Inclination short base,Inclination distal side,Inclination proximal side,Shape Proximal,Reliability proximal,Shape distal,Reliability distal,Shape short base,Reliability short base,Shape bow,Reliability bow,Raw material,Microburin,Archaeological level,Comments,Outline vertex,Orientation,Grid,Residual retouch,Sector,Symmetry,Sub-grid,Location,X,Y,Z,Vertex,X_geo,Y_geo,Z_geo
2877,Can Ballester,2.03,0.71,0.25,,27.24,27.11,147.39,158.26,0,0,0.97,2.77,0.54,1977,,Gris,1.21,1.31,20/5/2019,,,,No escau,Doble bisell,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,85.12,Trapezi,G2. Trapecio simétrico,TRsp 9.2.1 Trapecio con doble bisel,G5. Trapecio simétrico,CB2-V-18,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Oblicu,Oblicu,Oblicu,Rectilini,Incomplet,Rectilini regular,Incomplet,Inexistent,Complet,No escau,No escau,Sílex Juràssic,No,5 (?) Consultar Excel i publicació,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
2878,Can Ballester,1.73,1.06,0.21,,64.17,51.27,107.53,137.03,0,0,1.16,1.74,0.59,1977,,Gris,1.11,1.06,20/5/2019,,,,No escau,Inexistent,Directa,Directa,"C. Olària, F. Gusi",No escau,Inexistent,Continu,Continu,,100,Trapezi,G5. Trapecio con un lado cóncavo,TRa 9.1.4 Trapecio con un lado cóncavo,G8. Trapecio con lado(s) cóncavo(s),CB2-V-03,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Inexistent,Abrupte,Abrupte,Concau,Complet,Rectilini regular,Complet,Inexistent,Complet,No escau,No escau,Sílex Juràssic,No,5 (?) Consultar Excel i publicació,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
2879,Can Ballester,2.12,0.88,0.26,,33.04,33.67,0,0,113.29,0,1.2,2.16,0,1977,,Gris oscur,1.28,1.3,20/5/2019,,,,No escau,No escau,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,No escau,Continu,Continu,,100,Triangle,G11. Triángulo isósceles con el vértice redondeado,Ts 9.4.1 Triángulo con doble bisel,G4. Triángulo de retoque en doble bisel,CB2-V-13,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,No escau,Oblicu,Oblicu,Rectilini,Complet,Rectilini regular,Complet,No escau,No escau,No escau,No escau,Sílex,No,5 (?) Consultar Excel i publicació,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Si,,,
2880,Can Ballester,2.41,0.5,0.2,,21.95,28.97,0,0,0,2.57,0.82,2.43,0,1977,,Gris,1.13,1.42,20/5/2019,,,,No escau,Directa,Directa,Directa,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,100,Segment,G1. Segmento o media Luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,CB2-V-15,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat suau,Complet,Sílex Juràssic,No,5 (?) Consultar Excel i publicació,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2881,Can Ballester,1.39,0.79,0.22,,55.56,43.31,0,0,0,2.54,0.77,1.96,0,1977,,Gris,1.39,1.09,20/5/2019,,,,No escau,Doble bisell,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,76.73,Segment,G1. Segmento o media Luna,Ss 9.6 Segmento de doble bisel,G2. Segmento de retoque en doble bisel,CB2-43,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Oblicu,Oblicu,Oblicu,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat abrupte,Incomplet,Sílex Juràssic,No,2,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2882,Can Ballester,2.17,0.75,0.33,,35.02,29.61,0,0,115.37,0,0.89,2.19,0,1977,,Melat,1.39,1.2,20/5/2019,,,,No escau,No escau,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,No escau,Continu,Continu,,100,Triangle,G9. Triángulo isósceles,Ts 9.4.1 Triángulo con doble bisel,G4. Triángulo de retoque en doble bisel,CB2-52,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,No escau,Oblicu,Oblicu,Rectilini,Complet,Rectilini regular,Complet,No escau,No escau,No escau,No escau,Sílex,No,2,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Si,,,
2883,Can Ballester,1.78,0.65,0.22,,29.07,28.95,0,0,121.98,0,0.74,2.24,0,1977,,Gris,1.28,1.28,20/5/2019,,,,No escau,No escau,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,No escau,Continu,Continu,,94.76,Triangle,G9. Triángulo isósceles,Ts 9.4.1 Triángulo con doble bisel,G4. Triángulo de retoque en doble bisel,CB2-38,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,No escau,Oblicu,Oblicu,Rectilini,Incomplet,Rectilini regular,Incomplet,No escau,No escau,No escau,No escau,Sílex Juràssic,No,2,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Si,,,
2884,Can Ballester,1.59,1.01,0.17,,61.13,61.05,122.72,115.1,0,0,1.09,1.62,0.66,1977,,Gris,1.03,0.97,20/5/2019,,,,No escau,Inexistent,Directa,Directa,"C. Olària, F. Gusi",No escau,Inexistent,Continu,Continu,,100,Trapezi,G2. Trapecio simétrico,TRa 9.1.1 Trapecio simétrico,G5. Trapecio simétrico,CB2-31,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Inexistent,Abrupte,Abrupte,Rectilini,Complet,Rectilini regular,Complet,Inexistent,Complet,No escau,No escau,Sílex Juràssic,No,2,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
2885,Can Ballester,1.36,1.16,0.17,,72.85,57.9,97,132.25,0,0,1.09,1.49,0.53,1977,,Gris,1.19,1.15,20/5/2019,,,,No escau,Inexistent,Directa,Directa,"C. Olària, F. Gusi",No escau,Inexistent,Continu,Continu,,98.75,Trapezi,G2. Trapecio simétrico,TRa 9.1.1 Trapecio simétrico,G5. Trapecio simétrico,CB2-28,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Inexistent,Abrupte,Abrupte,Rectilini,Complet,Rectilini regular,Incomplet,Inexistent,Complet,No escau,No escau,Sílex Juràssic,No,2,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
2886,Can Ballester,1.6,0.95,0.22,,49.4,53.06,130.13,127.4,0,0,0.91,1.59,0.16,1977,,Gris,1.11,1.17,20/5/2019,,,,No escau,Inexistent,Bifacial,Directa,"C. Olària, F. Gusi",No escau,Inexistent,Continu,Continu,,100,Trapezi,G2. Trapecio simétrico,TRa 9.1.1 Trapecio simétrico,G5. Trapecio simétrico,CB2-37,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Inexistent,Oblicu,Abrupte,Rectilini,Complet,Rectilini regular,Complet,Inexistent,Complet,No escau,No escau,Sílex Juràssic,No,2,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
